-2,-4,58,7,4,1,0,-2,0
6,86,-1,-1,-10,-1,0,-1,0
15,30,77,49,39,18,7,8,0
-22,-20,-55,-42,-34,-17,-10,-12,0
5,11,127,17,3,4,0,2,0
8,40,-108,1,-7,-6,-1,4,0
3,-3,2,-6,8,-2,3,-1,0
0,-14,13,20,13,11,4,1,0
-3,7,80,-10,-14,-10,6,-1,0
1,6,-5,4,-2,30,-44,-7,0
7,-13,5,22,-20,-61,34,3,0
6,44,5,17,23,4,-11,-4,0
-13,1,-8,1,-5,50,33,12,0
-3,28,-8,-13,34,-78,2,-10,0
-5,18,3,5,-50,-49,-111,-14,0
-10,33,-3,-18,-19,-10,-1,4,0
16,-4,-5,-6,2,2,-47,3,0
-4,-29,-11,-25,5,32,-1,-2,0
5,-95,-1,4,18,127,64,-15,0
-1,-11,-3,22,25,-121,-128,-38,0
-18,-20,1,5,40,-31,127,-7,0
3,69,-2,-29,-28,-49,-8,14,0
1,82,-6,-41,-77,-128,-128,15,0
-27,122,11,44,3,127,127,26,0
29,50,23,28,2,-17,-46,-5,0
9,104,8,-1,-21,-63,-7,13,0
-16,-128,-3,-2,31,47,-75,-7,0
34,-128,-14,-10,17,44,-42,-16,0
-51,-47,-15,-11,5,38,-10,-21,0
26,-87,-9,-8,-5,-26,-35,-25,0
-2,4,-8,-13,-10,-12,-9,-20,0
-46,47,-1,0,-3,18,7,-8,0
-15,59,-5,4,-6,8,-72,-30,0
33,63,0,2,15,-87,-124,-27,0
-9,56,7,2,-33,-25,127,39,0
33,49,3,0,-16,7,63,48,0
-12,41,0,-1,3,11,24,0,0
-14,37,2,1,8,10,-43,-21,0
-4,27,6,12,12,9,-42,-8,0
18,79,0,1,15,-1,-3,-3,0
41,99,6,-1,-21,-12,-10,1,0
28,75,5,3,17,-4,7,0,0
-11,-13,-3,-2,-26,13,11,3,0
-60,-17,-1,-8,9,2,-10,-10,0
11,7,-2,-4,-3,-11,1,1,0
25,43,2,3,1,-42,-4,1,0
21,-33,4,-1,1,45,17,2,0
7,-11,3,0,-5,-25,-8,5,0
-1,-8,-4,0,-9,-2,-12,-13,0
-35,68,-3,-7,6,-21,-5,-5,0
-11,66,-3,-2,2,7,4,4,0
10,-128,-3,4,11,-17,-2,6,0
48,-95,1,0,-3,-8,8,9,0
-46,-128,-4,-7,4,53,37,-11,0
-30,-63,-4,5,13,-24,42,-10,0
6,-5,4,-5,-32,-5,-57,-7,0
-6,22,2,-5,-10,-47,9,2,0
10,33,-2,-12,-2,28,-4,7,0
36,31,-5,-4,10,-26,-6,8,0
-60,27,-8,-5,-18,-12,-2,-14,0
-44,86,-5,-1,-15,-13,23,-7,0
11,127,2,3,8,28,47,13,0
-15,118,-7,5,27,19,-26,-11,0
20,93,-6,-5,-22,-40,-89,8,0
16,54,-6,-8,-19,22,67,10,0
-8,32,-1,6,9,12,25,3,0
3,31,0,9,2,-1,-1,0,0
0,23,-4,-2,-2,-9,-12,-2,0
4,9,-1,-4,8,1,2,1,0
2,-2,-1,-4,3,-9,-51,-3,0
2,-12,-1,-6,-3,-8,-1,-8,0
7,-19,-1,-9,7,-4,-27,1,0
-14,-24,-7,0,-14,6,18,-4,0
-7,-29,2,3,14,8,6,-1,0
-1,-36,6,3,-12,-9,27,11,0
-8,-51,0,-11,-21,22,-6,-3,0
-3,-48,-1,13,11,1,6,-8,0
9,-30,0,0,10,4,-19,-6,0
-22,-28,-5,-1,12,-1,17,1,0
4,-15,0,-1,-35,-8,-15,1,0
0,-3,-1,-1,-13,4,6,1,0
-4,-2,2,-1,15,-5,1,0,0
5,-17,-1,-5,-3,-13,-4,2,0
-4,-15,-3,-13,-17,-21,-7,-4,0
-1,-16,1,-6,16,28,12,2,0
2,-13,-1,-5,-10,-15,23,0,0
-2,-19,-6,-4,9,-4,-30,-6,0
4,-7,1,-4,-18,10,6,-2,0
2,-2,5,2,4,-8,-12,3,0
3,-9,-2,0,5,19,32,-1,0
0,-6,3,-5,13,4,-16,-1,0
6,-5,0,-6,-16,41,38,0,0
-9,-1,-2,6,-9,-18,-5,-4,0
-9,-1,0,5,15,-5,-7,-5,0
4,-2,-5,-1,11,-16,-6,-1,0
3,4,5,-6,5,9,-1,6,0
-3,-1,1,-9,-11,-27,-4,-2,0
3,-8,-3,-5,6,5,0,1,0
6,-3,2,0,-11,-1,8,7,0
3,-5,3,2,11,-1,-6,2,0
-5,-6,2,6,2,-2,24,0,0
2,-2,5,9,-7,-42,-10,-1,0
-17,-2,2,12,1,37,11,-1,0
4,-5,-3,-4,-3,-9,-56,-3,0
2,11,-1,-4,0,26,16,2,0
5,2,1,6,8,1,-10,-1,0
-1,-3,0,11,24,-6,-13,1,0
4,-4,5,8,-37,-9,-5,-1,0
-1,-3,2,6,-4,-4,3,-2,0
0,-1,-6,-6,2,-7,2,-9,0
2,4,-1,-5,3,-4,2,0,0
4,-2,2,-1,-5,1,-6,2,0
4,-2,1,0,40,3,4,0,0
4,-5,5,3,-25,-3,2,-1,0
-10,1,4,1,0,2,-1,-3,0
-4,-3,-4,-3,2,4,-1,-1,0
2,-2,-3,-8,3,-3,-3,4,0
2,-7,-5,-7,-4,-11,-2,2,0
1,-13,-2,-4,-7,-21,13,-1,0
-3,-5,0,2,13,-1,-1,-2,0
-5,2,4,0,-4,37,9,-4,0
-1,8,2,0,-30,-14,6,-1,0
2,12,-2,-4,-2,-4,2,-2,0
2,16,-4,-1,2,-5,-5,-2,0
0,8,-2,-2,-2,-2,-6,-5,0
-1,0,2,-2,3,3,1,-3,0
-6,-8,2,-2,-1,-1,4,-2,0
-1,-10,-3,1,-6,-9,0,-1,0
4,-10,-4,1,6,-2,-4,2,0
5,-10,-6,-1,-10,-4,-7,1,0
-13,-10,0,0,2,-1,0,0,0
-3,-3,-2,0,3,1,2,2,0
0,-11,0,-2,-1,2,-5,0,0
0,-2,7,4,-3,6,23,-1,0
2,3,-1,4,2,-7,-9,-1,0
-2,-1,-4,3,0,7,0,-2,0
-3,4,-3,6,3,-11,5,1,0
0,8,3,2,-5,21,-1,-4,0
1,18,-1,3,10,12,13,0,0
-2,11,-1,0,6,-2,-1,-2,0
2,0,-1,-4,-15,-11,-2,2,0
4,-4,2,1,-4,2,-5,1,0
-2,2,6,3,5,6,-3,-5,0
-1,1,1,-2,-2,-3,7,-3,0
-9,-4,1,-2,1,-5,-3,-4,0
4,-5,-2,-7,-3,-6,-2,2,0
-4,-9,0,-1,5,0,4,1,0
0,1,-3,1,2,4,-2,-2,0
2,5,2,0,1,0,-2,-2,0
-1,1,-1,8,6,-2,-8,-4,0
-1,-5,-1,0,0,8,11,0,0
-3,-4,-1,-6,-8,-6,10,2,0
-2,-4,-1,-7,1,-2,-7,-3,0
0,2,-2,-5,-3,2,22,-1,0
-2,1,-3,-2,-1,25,-32,0,0
0,4,-3,-3,4,2,-5,1,0
-1,0,2,0,2,-1,13,-2,0
2,-2,-2,1,4,-1,2,2,0
2,-1,-1,1,-1,-3,-3,-6,0
2,3,0,-2,-7,-8,-2,-2,0
-1,-5,-5,-4,-8,-1,-3,2,0
-1,-1,0,1,-4,0,-3,-1,0
-2,0,-5,1,0,0,-3,-3,0
-1,2,4,0,0,-4,2,0,0
-5,1,4,-3,-3,5,-1,-1,0
0,2,-1,-4,-1,3,1,1,0
0,-2,-11,-5,-3,5,5,-2,0
-3,-3,2,5,2,-6,-2,-1,0
-3,-6,-4,3,-1,-4,2,-2,0
1,3,-3,0,0,3,-3,-5,0
1,1,-4,-1,-1,0,3,-7,0
-1,2,-5,-2,0,-6,7,-9,0
3,0,0,2,1,-17,-2,-7,0
-5,-1,-3,1,1,12,-13,-9,0
-1,4,1,5,5,5,-11,0,0
-5,-1,0,-11,0,-6,6,3,0
-2,8,11,5,2,0,7,7,0
0,2,-2,2,-1,-6,1,10,0
2,-3,-3,0,-4,-6,-3,8,0
-3,-6,-1,-4,-2,3,1,3,0
-1,-2,3,-2,-2,-1,2,-6,0
-2,-6,2,-1,-2,-4,-1,0,0
1,6,6,-5,2,-1,-2,2,0
1,0,-9,-7,1,6,1,-3,0
-2,4,-4,-2,-3,3,-2,0,0
-1,-5,-9,-3,0,0,-5,1,0
-5,-4,3,2,-6,-1,2,-2,0
1,4,-3,2,1,2,-1,-4,0
-3,-5,-1,0,-1,-1,-1,3,0
2,1,12,2,5,-4,-2,2,0
-4,2,-2,-2,0,0,-5,-3,0
-1,2,0,-3,-7,4,-2,2,0
-1,1,-4,-4,-2,1,1,-1,0
-4,2,1,-2,0,1,-2,0,0
2,0,5,1,2,-3,3,2,0
-1,-7,2,-3,4,1,-1,-2,0
0,3,-1,-4,-1,-5,-2,2,0
-4,-7,-2,3,0,0,0,4,0
-4,-5,-3,-2,0,-1,-2,2,0
1,3,0,-2,-3,1,-1,1,0
-2,1,3,2,-2,0,-5,-6,0
1,-5,-1,2,1,0,1,-5,0
0,1,3,1,0,-1,2,0,0
1,1,-1,1,-2,-5,0,-2,0
-1,-3,-2,1,-1,-7,-1,0,0
-3,-1,-1,0,-3,-1,-4,2,0
